customer_id,name,nik_masked,email,phone,city,province,dob,gender,kyc_status,registration_date,referral_code
NBC0001,Hendra Salim,357859******,hendra.salim973@gmail.com,087275571928,Surabaya,Jawa Timur,1991-06-18,Male,verified,2024-03-26,REF-5566
NBC0002,Fajar Saputra,327373******,fajar.saputra531@hotmail.com,087144739473,Yogyakarta,DI Yogyakarta,1980-07-02,Male,rejected,2022-10-05,
NBC0003,Cahyo Halim,327197******,cahyo.halim991@outlook.com,088518844225,Jakarta,DKI Jakarta,1997-10-27,Male,unverified,2023-04-05,REF-4292
NBC0004,Putri Darmawan,317156******,putri.darmawan568@outlook.com,085829114678,Bogor,Jawa Barat,1993-06-05,Female,pending,2024-04-18,
NBC0005,Taufik Kusuma,127169******,taufik.kusuma697@outlook.com,082892268018,Surabaya,Jawa Timur,1981-11-12,Male,verified,2023-09-15,REF-6286
NBC0006,Nadia Rahman,167146******,nadia.rahman867@gmail.com,083384249818,Medan,Sumatera Utara,2003-10-02,Female,pending,2022-12-12,REF-3526
NBC0007,Rangga Mahendra,517115******,rangga.mahendra846@gmail.com,081094396907,Semarang,Jawa Tengah,2003-02-18,Male,rejected,2025-01-22,REF-5949
NBC0008,Arif Wardana,347168******,arif.wardana75@gmail.com,082767735925,Medan,Sumatera Utara,1989-04-28,Male,verified,2023-12-09,
NBC0009,Wahyu Cahyadi,167123******,wahyu.cahyadi327@yahoo.com,085147321046,Medan,Sumatera Utara,2002-08-09,Male,verified,2024-05-06,REF-3616
NBC0010,Mira Ramadhan,337430******,mira.ramadhan511@hotmail.com,085470168733,Jakarta,DKI Jakarta,2001-03-02,Female,verified,2023-12-24,REF-5609
NBC0011,Teguh Effendi,347178******,teguh.effendi9@gmail.com,085245650609,Semarang,Jawa Tengah,2000-03-14,Male,verified,2023-02-03,REF-5728
NBC0012,Irfan Halim,167145******,irfan.halim846@gmail.com,082165585239,Medan,Sumatera Utara,1997-11-02,Male,verified,2024-04-02,REF-1742
NBC0013,Cahyo Mahendra,127176******,cahyo.mahendra468@yahoo.com,087825952694,Tangerang,Banten,2001-08-19,Male,verified,2023-11-20,REF-9351
NBC0014,Cahyo Firmansyah,127112******,cahyo.firmansyah378@outlook.com,088169409749,Bali,Bali,2000-11-28,Male,unverified,2023-04-12,
NBC0015,Jihan Budiman,517158******,jihan.budiman152@yahoo.com,081913075626,Yogyakarta,DI Yogyakarta,2005-12-22,Female,verified,2023-02-22,REF-8726
NBC0016,Zulfa Santoso,327376******,zulfa.santoso213@outlook.com,088786527858,Jakarta,DKI Jakarta,1990-11-22,Female,verified,2023-06-26,REF-4150
NBC0017,Sari Firmansyah,337448******,sari.firmansyah790@outlook.com,088375758441,Jakarta,DKI Jakarta,2000-09-21,Female,unverified,2025-01-17,REF-7464
NBC0018,Bilqis Hidayat,347115******,bilqis.hidayat295@gmail.com,083747338484,Semarang,Jawa Tengah,1981-02-27,Female,verified,2022-08-12,REF-4920
NBC0019,Yoga Budiman,337491******,yoga.budiman239@gmail.com,081657120826,Bandung,Jawa Barat,2004-04-14,Male,verified,2024-09-01,REF-4267
NBC0020,Tika Ramadhan,347192******,tika.ramadhan61@gmail.com,088938026206,Jakarta,DKI Jakarta,1997-03-22,Female,verified,2023-01-17,
NBC0021,Tika Wijaya,317148******,tika.wijaya582@gmail.com,083478872874,Banjarmasin,Kalimantan Selatan,1983-08-26,Female,verified,2022-08-19,REF-8518
NBC0022,Winda Permana,317153******,winda.permana810@outlook.com,087329668516,Surabaya,Jawa Timur,2005-01-08,Female,verified,2022-07-15,REF-3303
NBC0023,Nanda Pratama,347159******,nanda.pratama242@hotmail.com,083549904530,Semarang,Jawa Tengah,2004-12-15,Male,verified,2022-08-31,REF-3616
NBC0024,Irfan Firmansyah,327191******,irfan.firmansyah939@outlook.com,083933272795,Yogyakarta,DI Yogyakarta,1993-08-27,Male,verified,2025-01-29,
NBC0025,Tania Anwar,337497******,tania.anwar773@gmail.com,087785191088,Bali,Bali,1984-01-26,Female,verified,2025-01-04,REF-6375
NBC0026,Erika Sugiarto,337484******,erika.sugiarto501@gmail.com,087707286790,Surabaya,Jawa Timur,2000-01-25,Female,unverified,2024-08-04,REF-6049
NBC0027,Bella Susanto,317137******,bella.susanto593@gmail.com,081651801704,Yogyakarta,DI Yogyakarta,1993-05-04,Female,rejected,2023-01-04,
NBC0028,Yanti Yudha,357858******,yanti.yudha460@hotmail.com,085182512868,Banjarmasin,Kalimantan Selatan,1980-09-17,Female,verified,2023-04-02,
NBC0029,Ulfa Gunawan,167164******,ulfa.gunawan545@hotmail.com,082375243106,Semarang,Jawa Tengah,2002-08-01,Female,verified,2022-02-02,REF-2102
NBC0030,Rizki Halim,517196******,rizki.halim721@gmail.com,082067383028,Manado,Sulawesi Utara,1987-12-23,Male,verified,2023-04-25,
NBC0031,Vina Ramadhan,337448******,vina.ramadhan898@yahoo.com,088836440892,Surabaya,Jawa Timur,2003-01-30,Female,rejected,2024-05-24,REF-1768
NBC0032,Sinta Tanjung,167150******,sinta.tanjung714@hotmail.com,085246287334,Bandung,Jawa Barat,1981-06-23,Female,pending,2024-08-06,
NBC0033,Cindy Budiman,327359******,cindy.budiman249@outlook.com,082517518304,Bandung,Jawa Barat,1991-12-02,Female,verified,2022-03-22,
NBC0034,Galih Anwar,127136******,galih.anwar891@outlook.com,083033173936,Bandung,Jawa Barat,1985-09-26,Male,verified,2023-10-21,
NBC0035,Kevin Rahman,347143******,kevin.rahman369@hotmail.com,085175355609,Banjarmasin,Kalimantan Selatan,1984-12-04,Male,verified,2022-10-26,REF-7841
NBC0036,Krisna Mahendra,337458******,krisna.mahendra584@yahoo.com,085854777252,Balikpapan,Kalimantan Timur,1981-04-12,Male,verified,2025-01-24,REF-9882
NBC0037,Citra Budiman,317119******,citra.budiman968@gmail.com,081623120387,Jakarta,DKI Jakarta,1991-09-28,Female,verified,2022-05-04,REF-8916
NBC0038,Ayu Pratama,167180******,ayu.pratama422@gmail.com,081848408621,Bandung,Jawa Barat,1979-04-28,Female,unverified,2024-12-09,REF-4144
NBC0039,Rina Rahman,347160******,rina.rahman81@outlook.com,085793341016,Manado,Sulawesi Utara,1992-01-05,Female,verified,2024-02-12,REF-1919
NBC0040,Vivi Maulana,327173******,vivi.maulana866@hotmail.com,088591803397,Jakarta,DKI Jakarta,1987-02-28,Female,rejected,2022-04-06,
NBC0041,Sari Aditya,517194******,sari.aditya34@yahoo.com,083039261429,Surabaya,Jawa Timur,1985-10-14,Female,verified,2024-03-07,REF-9856
NBC0042,Galih Nugroho,327174******,galih.nugroho764@outlook.com,081163159996,Jakarta,DKI Jakarta,1989-08-22,Male,verified,2022-03-02,REF-8381
NBC0043,Vino Tanjung,327533******,vino.tanjung697@hotmail.com,081943114262,Surabaya,Jawa Timur,1992-06-23,Male,unverified,2023-10-11,REF-2499
NBC0044,Surya Halim,357844******,surya.halim105@yahoo.com,081267888610,Bali,Bali,1979-01-08,Male,pending,2023-12-26,REF-6315
NBC0045,Siti Hakim,327559******,siti.hakim798@gmail.com,088839826224,Semarang,Jawa Tengah,1988-07-04,Female,verified,2023-07-04,REF-2036
NBC0046,Putra Yudha,347171******,putra.yudha802@gmail.com,083437993712,Semarang,Jawa Tengah,1988-08-31,Male,verified,2022-01-14,
NBC0047,Rangga Tanjung,357866******,rangga.tanjung343@hotmail.com,088924593752,Surabaya,Jawa Timur,1992-11-11,Male,verified,2023-10-16,REF-9044
NBC0048,Putri Ramadhan,327545******,putri.ramadhan837@hotmail.com,083193982807,Yogyakarta,DI Yogyakarta,1984-05-27,Female,verified,2024-06-16,
NBC0049,Dewi Yudha,127127******,dewi.yudha649@outlook.com,082426617979,Surabaya,Jawa Timur,1992-12-23,Female,pending,2024-12-30,REF-7853
NBC0050,Wahyu Aditya,517191******,wahyu.aditya937@gmail.com,081352909656,Jakarta,DKI Jakarta,1979-10-02,Male,unverified,2022-01-22,REF-4637
NBC0051,Jaka Lestari,127157******,jaka.lestari401@hotmail.com,088982507146,Jakarta,DKI Jakarta,1978-11-07,Male,verified,2022-08-26,
NBC0052,Yuni Firmansyah,357868******,yuni.firmansyah804@yahoo.com,087757177514,Medan,Sumatera Utara,1977-01-02,Female,verified,2022-08-24,REF-6620
NBC0053,Umi Maulana,337476******,umi.maulana179@yahoo.com,083867362266,Jakarta,DKI Jakarta,1976-04-23,Female,pending,2023-02-09,REF-8037
NBC0054,Cahyo Anwar,337445******,cahyo.anwar771@gmail.com,087182553714,Surabaya,Jawa Timur,2005-01-31,Male,verified,2024-09-29,REF-6134
NBC0055,Prita Wardana,517124******,prita.wardana357@outlook.com,085924991251,Yogyakarta,DI Yogyakarta,1985-09-13,Female,verified,2023-09-18,REF-7116
NBC0056,Intan Tanjung,327586******,intan.tanjung142@hotmail.com,085278282742,Medan,Sumatera Utara,1983-05-24,Female,verified,2023-10-07,
NBC0057,Yuni Pratama,127127******,yuni.pratama200@hotmail.com,087876767721,Surabaya,Jawa Timur,2000-05-12,Female,verified,2022-03-05,
NBC0058,Rizki Iskandar,337478******,rizki.iskandar296@yahoo.com,085978819148,Surabaya,Jawa Timur,1991-06-16,Male,verified,2025-01-15,
NBC0059,Dwi Halim,167137******,dwi.halim436@gmail.com,088340745171,Bali,Bali,1985-08-18,Male,verified,2023-03-06,
NBC0060,Yuni Zulkarnain,327388******,yuni.zulkarnain143@yahoo.com,082095849825,Jakarta,DKI Jakarta,1988-02-16,Female,rejected,2023-08-16,REF-9428
NBC0061,Umi Hartono,327362******,umi.hartono941@gmail.com,083223253672,Jakarta,DKI Jakarta,2000-11-25,Female,pending,2023-07-05,REF-7146
NBC0062,Satria Setiawan,327575******,satria.setiawan768@outlook.com,088577590175,Bandung,Jawa Barat,1977-11-03,Male,verified,2024-12-30,REF-8039
NBC0063,Hesti Iskandar,357846******,hesti.iskandar346@yahoo.com,087750017012,Tangerang,Banten,1994-10-18,Female,verified,2024-07-23,REF-8009
NBC0064,Bambang Nugroho,347130******,bambang.nugroho896@outlook.com,081541520643,Jakarta,DKI Jakarta,1994-04-03,Male,verified,2022-07-06,
NBC0065,Ganesha Kusuma,327385******,ganesha.kusuma232@hotmail.com,081051627136,Yogyakarta,DI Yogyakarta,1979-01-03,Male,verified,2022-07-29,REF-7022
NBC0066,Hani Tanjung,327392******,hani.tanjung694@yahoo.com,081890927532,Jakarta,DKI Jakarta,1993-06-20,Female,verified,2024-06-25,
NBC0067,Eko Nugroho,327185******,eko.nugroho748@hotmail.com,083652341389,Jakarta,DKI Jakarta,2001-11-30,Male,unverified,2023-08-07,
NBC0068,Tania Firmansyah,337476******,tania.firmansyah622@yahoo.com,088640376137,Jakarta,DKI Jakarta,2003-08-16,Female,pending,2022-05-26,REF-1197
NBC0069,Vina Nugroho,327582******,vina.nugroho431@outlook.com,087271091043,Yogyakarta,DI Yogyakarta,1976-10-14,Female,verified,2022-05-04,
NBC0070,Rio Cahyadi,327564******,rio.cahyadi719@hotmail.com,081889241418,Jakarta,DKI Jakarta,1984-02-12,Male,verified,2022-11-15,REF-7401
NBC0071,Aisyah Kusuma,347199******,aisyah.kusuma448@yahoo.com,081316179904,Jakarta,DKI Jakarta,2004-11-17,Female,verified,2022-12-26,REF-3248
NBC0072,Jihan Darmawan,357876******,jihan.darmawan530@outlook.com,082524105648,Jakarta,DKI Jakarta,1977-11-12,Female,verified,2023-06-23,
NBC0073,Dewi Darmawan,127175******,dewi.darmawan369@gmail.com,085925241913,Makassar,Sulawesi Selatan,1997-10-28,Female,verified,2022-01-06,REF-1201
